calories,proteins,fat,carbohydrate,name,Meal Type
280.0,9.2,28.4,0.0,Abon,Lunch/Dinner
513.0,23.7,37.0,21.3,Abon haruwan,Lunch/Dinner
0.0,0.0,0.2,0.0,Agar-agar,Lunch/Dinner
45.0,1.1,0.4,10.8,Akar tonjong segar,Snack
37.0,4.4,0.5,3.8,Aletoge segar,Lunch/Dinner
85.0,0.9,6.5,7.7,Alpukat segar,Snack
96.0,3.7,0.6,19.1,Ampas kacang hijau,Snack
414.0,26.6,18.3,41.3,Ampas Tahu,Breakfast
75.0,4.1,2.1,10.7,Ampas tahu kukus,Snack
67.0,5.0,2.1,8.1,Ampas tahu mentah,Snack
184.0,18.8,14.0,0.0,Anak sapi daging gemuk segar,Lunch/Dinner
174.0,19.6,10.0,0.0,Anak sapi daging kurus segar,Lunch/Dinner
190.0,19.1,12.0,0.0,Anak sapi daging sedang segar,Lunch/Dinner
99.0,4.6,1.0,18.0,Andaliman segar,Snack
25.0,1.6,0.2,5.3,Andewi,Snack
30.0,0.5,0.2,6.8,Anggur hutan segar,Snack
354.0,16.4,31.5,0.0,Angsa,Lunch/Dinner
126.0,3.4,7.9,10.3,Anyang sayur,Snack
58.0,0.3,0.4,14.9,Apel,Snack
57.0,0.5,0.4,12.8,Apel malang segar,Snack
37.0,0.8,0.5,8.3,Arbei,Snack
113.0,0.9,7.2,11.2,Ares sayur,Snack
102.0,1.0,0.2,24.1,Arrowroot segar,Snack
277.0,2.4,25.0,10.7,Arwan sirsir,Breakfast
75.0,0.2,1.1,16.1,Asam kandis segar,Snack
239.0,2.8,0.6,62.5,Asam masak di pohon,Breakfast
135.0,0.8,0.4,32.1,Asam payak segar,Snack
261.0,0.9,1.6,63.3,Asan kandis kering,Breakfast
98.0,3.9,2.6,14.8,Asinan Bogor sayuran,Snack
302.0,18.2,25.0,0.0,Ayam,Lunch/Dinner
297.0,35.9,15.2,1.6,Ayam  goreng Kentuckysayap,Lunch/Dinner
270.0,32.3,11.2,9.9,Ayam ampela goreng,Lunch/Dinner
75.0,13.8,1.9,0.7,Ayam dideh/darah segar,Lunch/Dinner
295.0,34.0,16.0,1.5,Ayam goreng church texa sayap,Lunch/Dinner
338.0,35.2,20.6,0.4,Ayam goreng church texas dada,Lunch/Dinner
275.0,37.4,12.2,1.3,Ayam goreng kalasan paha,Lunch/Dinner
298.0,34.2,16.8,0.1,Ayam goreng kentucky dada,Lunch/Dinner
286.0,32.1,16.1,1.1,Ayam goreng Kentucky paha,Lunch/Dinner
295.0,39.2,13.6,1.0,Ayam goreng mbok berek dada,Lunch/Dinner
287.0,31.0,15.7,1.7,Ayam goreng paha,Lunch/Dinner
246.0,37.9,9.0,0.7,Ayam goreng pasundan dada,Lunch/Dinner
245.0,33.1,11.4,0.3,Ayam goreng pasundan paha,Lunch/Dinner
295.0,37.4,14.7,0.6,Ayam goreng pioneer dada,Lunch/Dinner
244.0,36.7,9.2,1.0,Ayam goreng sukabumi dada,Lunch/Dinner
283.0,35.7,14.3,0.5,Ayam goreng sukabumi paha,Lunch/Dinner
261.0,27.4,16.1,1.6,Ayam hati segar,Lunch/Dinner
264.0,18.2,20.1,2.7,Ayam taliwang masakan,Lunch/Dinner
473.0,45.2,26.3,13.9,Ayam usus goreng,Lunch/Dinner
113.0,17.6,4.2,0.0,Babat,Lunch/Dinner
453.0,11.9,45.0,0.0,Babi daging gemuk segar,Lunch/Dinner
371.0,14.1,35.0,0.0,Babi daging kurus segar,Lunch/Dinner
110.0,16.3,4.6,0.8,Babi ginjal segar,Lunch/Dinner
129.0,19.7,4.8,1.7,Babi hati segar,Lunch/Dinner
491.0,24.6,16.3,0.2,Babi hutan masak rica masakan,Lunch/Dinner
