name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Ikan Gabus segar,0.07326732673267326,0.017,0.144,0.0,3,Low-Carb,High-Protein,1.7333547204288158
Teh,0.1306930693069307,0.006999999999999999,0.11142857142857143,0.10479134466769706,2,High-Carb,High-Protein,1.6008371091799312
Kerbau daging segar,0.07821782178217822,0.005,0.10685714285714286,0.0,3,Low-Carb,High-Protein,1.3022075829880437
Ikan kayu kering,0.299009900990099,0.019,0.404,0.0006182380216383308,3,Low-Carb,High-Protein,1.2896460856268488
Telur Ayam bagian putih,0.04950495049504951,0.0,0.06171428571428572,0.0012364760432766616,3,Low-Carb,High-Protein,1.2715797015927879
Ikan Teri Nasi kering,0.1425742574257426,0.006,0.18571428571428572,0.0,1,Low-Carb,High-Protein,1.2604871908289292
Daging Kerbau,0.08316831683168317,0.005,0.10685714285714286,0.0,3,Low-Carb,High-Protein,1.2246961588404028
Ikan Beunteur,0.06534653465346535,0.0,0.08,0.0,3,Low-Carb,High-Protein,1.2242236899102
Ikan titang segar,0.08118811881188119,0.004,0.09942857142857142,0.0035548686244204013,3,Low-Carb,High-Protein,1.2191712572018532
Ikan lehoma segar,0.0891089108910891,0.009000000000000001,0.11657142857142856,0.0,3,Low-Carb,High-Protein,1.2071769289827177
Telur bebek bagian putih segar,0.053465346534653464,0.0,0.06285714285714286,0.0012364760432766616,3,Low-Carb,High-Protein,1.198765635854287
Telur Bebek bagian putih,0.053465346534653464,0.0,0.06285714285714286,0.0012364760432766616,3,Low-Carb,High-Protein,1.198765635854287
Ikan kakap segar,0.09108910891089109,0.006999999999999999,0.11428571428571428,0.0,3,Low-Carb,High-Protein,1.1777976288365903
Ikan Asin kering,0.1910891089108911,0.015,0.24,0.0,3,Low-Carb,High-Protein,1.1774549780853476
Ikan Teri bubuk,0.2742574257425743,0.023,0.34285714285714286,0.0027820710973724882,3,Low-Carb,High-Protein,1.1764058408814484
Sapi dideh/darah,0.09702970297029703,0.011000000000000001,0.12514285714285714,0.0,3,Low-Carb,High-Protein,1.1763581386996491
Umbi Uwi segar,0.1188118811881188,0.005,0.016,0.12720247295208656,1,High-Carb,Low-Protein,1.163194357127556
Ikan layur segar,0.08118811881188119,0.01,0.10285714285714286,0.0006182380216383308,3,Low-Carb,High-Protein,1.1513289249433514
Cumi-cumi segar,0.07425742574257425,0.006999999999999999,0.09200000000000001,0.0001545595054095827,3,Low-Carb,High-Protein,1.1467326253401613
Ikan Kembung,0.10198019801980199,0.01,0.12571428571428572,0.0,3,Low-Carb,High-Protein,1.1346629374938029
Kerupuk Sayong ,0.046237623762376244,0.17300000000000001,0.09885714285714287,0.1256568778979907,4,High-Carb,High-Protein,1.114090700879593
Belut segar,0.06930693069306931,0.008,0.08342857142857142,0.0015455950540958269,3,Low-Carb,High-Protein,1.1106112347163837
Dideh darah sapi,0.10297029702970298,0.011000000000000001,0.12514285714285714,0.0,3,Low-Carb,High-Protein,1.1084919820902288
Udang besar segar,0.055445544554455446,0.006,0.06514285714285714,0.0018547140649149921,2,Low-Carb,High-Protein,1.1001149250674205
Ikan Mujair segar,0.08811881188118811,0.01,0.10685714285714286,0.0,3,Low-Carb,High-Protein,1.0991528555205643
Ikan hiu segar,0.05643564356435644,0.003,0.06114285714285714,0.0034003091190108192,3,Low-Carb,High-Protein,1.0904823953906542
Ikan tarmon segar,0.09504950495049505,0.011000000000000001,0.11142857142857143,0.0030911901081916537,3,Low-Carb,High-Protein,1.08910269956671
Ikan kacangan segar,0.07623762376237624,0.009000000000000001,0.08914285714285713,0.002472952086553323,1,Low-Carb,High-Protein,1.08364769918868
Ikan malalugis segar,0.09801980198019802,0.013999999999999999,0.11771428571428572,0.0013910355486862441,3,Low-Carb,High-Protein,1.0722756714866009
Ikan cakalang segar,0.10594059405940594,0.006999999999999999,0.112,0.008500772797527048,3,Low-Carb,High-Protein,1.0713523220528696
Ikan Teri Kering tawar,0.32772277227722774,0.042,0.39257142857142857,0.0,3,Low-Carb,High-Protein,1.069716200736496
Ikan baronang segar,0.07722772277227723,0.006,0.08285714285714285,0.00571870170015456,3,Low-Carb,High-Protein,1.0692374752951326
Gulai asam keueung masakan,0.05148514851485149,0.005,0.05714285714285714,0.0027820710973724882,3,Low-Carb,High-Protein,1.0667903858527348
Ikan sepat segar,0.08316831683168317,0.006,0.08685714285714285,0.007264296754250387,3,Low-Carb,High-Protein,1.059542665112088
Ikan bulan-bulan segar,0.13267326732673268,0.013000000000000001,0.1457142857142857,0.0077279752704791345,3,Low-Carb,High-Protein,1.0585493616399793
Menjangan daging dendeng mentah,0.3188118811881188,0.02,0.31885714285714284,0.03508500772797527,3,High-Carb,High-Protein,1.047455012923622
Kerupuk Kulit kerbau,0.4178217821782178,0.04,0.4742857142857143,0.0,4,Low-Carb,High-Protein,1.039401710030437
Toge kacang tunggak,0.034653465346534656,0.002,0.02857142857142857,0.008964451313755796,1,Low-Carb,High-Protein,1.0254343712948912
greek yogurt,0.09900990099009901,0.006999999999999999,0.09885714285714287,0.009428129829984543,0,Low-Carb,High-Protein,1.0229709221336734
Ikan tahuman segar,0.08712871287128712,0.009000000000000001,0.09085714285714286,0.00633693972179289,3,Low-Carb,High-Protein,1.0122159212118713
Ikan Gabus kering,0.2891089108910891,0.04,0.3314285714285714,0.0,3,Low-Carb,High-Protein,1.00801999672144
Ikan Layang,0.10792079207920792,0.017,0.12571428571428572,0.0,3,Low-Carb,High-Protein,1.0073432216034381
Tepung Ikan,0.31287128712871287,0.065,0.3434285714285714,0.03462132921174652,1,High-Carb,High-Protein,1.0005676869410043
Ikan tepung mentah,0.31287128712871287,0.065,0.3434285714285714,0.03462132921174652,1,High-Carb,High-Protein,1.0005676869410043
Ikan cakalang asin mentah,0.19603960396039605,0.022000000000000002,0.20857142857142857,0.008500772797527048,3,Low-Carb,High-Protein,0.9950601937972193
Ikan terbang segar,0.09702970297029703,0.017,0.112,0.0015455950540958269,3,Low-Carb,High-Protein,0.99500046994043
Ikan banjar segar,0.1099009900990099,0.009000000000000001,0.11085714285714285,0.007418856259659969,3,Low-Carb,High-Protein,0.9943040978453334
Ikan telan segar,0.09405940594059406,0.006999999999999999,0.09028571428571429,0.010046367851622875,3,Low-Carb,High-Protein,0.9922568503083338
Ikan bambangan segar,0.11089108910891089,0.013000000000000001,0.11428571428571428,0.00571870170015456,3,Low-Carb,High-Protein,0.9649418353078024
Ikan Bawal,0.09504950495049505,0.017,0.10857142857142857,0.0,3,Low-Carb,High-Protein,0.96339760234963
Ikan bili segar,0.08712871287128712,0.006999999999999999,0.08114285714285714,0.009582689335394128,3,Low-Carb,High-Protein,0.9609299023162776
Ikan katombo asin,0.1603960396039604,0.027999999999999997,0.18114285714285713,0.00046367851622874804,3,Low-Carb,High-Protein,0.9576644060162139
Ikan Teri kering,0.16831683168316833,0.03,0.19085714285714284,0.0,3,Low-Carb,High-Protein,0.9556749944351169
Ikan Selar kering,0.19207920792079208,0.035,0.21714285714285714,0.0,3,Low-Carb,High-Protein,0.9482645771498082
Ikan turi segar,0.09504950495049505,0.02,0.10971428571428571,0.0003091190108191654,3,Low-Carb,High-Protein,0.9471112728121914
Ikan Pindang layang mentah,0.15148514851485148,0.027999999999999997,0.17142857142857143,0.0,3,Low-Carb,High-Protein,0.9468098095748332
Pindang Ikan Layang,0.15148514851485148,0.027999999999999997,0.17142857142857143,0.0,3,Low-Carb,High-Protein,0.9468098095748332
cottage cheese nonfat,0.10297029702970298,0.004,0.08571428571428572,0.01499227202472952,2,Low-Carb,High-Protein,0.9391603342737285
Petis Ikan,0.1594059405940594,0.002,0.11428571428571428,0.03709428129829984,3,High-Carb,High-Protein,0.9370984414312324
Ikan sarden segar,0.10792079207920792,0.018000000000000002,0.11371428571428571,0.005255023183925811,3,Low-Carb,High-Protein,0.9355785050725094
Kopi bubuk instant,0.12772277227722773,0.005,0.07028571428571428,0.05409582689335394,2,High-Carb,High-Protein,0.934685368671601
Sate Kulit ,0.10891089108910891,0.005,0.08857142857142856,0.01777434312210201,3,Low-Carb,High-Protein,0.9305299052296508
Ikan Belida segar,0.07920792079207921,0.013999999999999999,0.08399999999999999,0.0034003091190108192,3,Low-Carb,High-Protein,0.9266672034540678
Ikan lomak asin mentah,0.25544554455445545,0.023,0.23028571428571426,0.029211746522411125,3,High-Carb,High-Protein,0.9258197687528692
Toge kacang ijo,0.02277227722772277,0.002,0.01657142857142857,0.00633693972179289,1,Low-Carb,Low-Protein,0.9181097689255242
cottage cheese low fat,0.1613861386138614,0.023,0.16,0.009428129829984543,2,Low-Carb,High-Protein,0.9073097837141278
Ikan kima segar,0.06930693069306931,0.006999999999999999,0.06171428571428572,0.0080370942812983,3,Low-Carb,High-Protein,0.905399704883399
Ikan selar kuning cue mentah,0.13663366336633664,0.033,0.15428571428571428,0.0,3,Low-Carb,High-Protein,0.8876643107798371
Tempe lamtoro var. gung tanpa kulit,0.1297029702970297,0.008,0.10285714285714286,0.02009273570324575,3,Low-Carb,High-Protein,0.8862479559966178
Ikan Gabus asap mentah,0.2584158415841584,0.023,0.21771428571428572,0.033848531684698605,3,High-Carb,High-Protein,0.8844733802868203
Ikan Pindang selar mentah,0.1405940594059406,0.03,0.15428571428571428,0.0,3,Low-Carb,High-Protein,0.8839977365553344
Pindang Ikan Selar Kecil,0.1405940594059406,0.03,0.15428571428571428,0.0,3,Low-Carb,High-Protein,0.8839977365553344
Ikan hiu kering,0.29504950495049503,0.036000000000000004,0.26457142857142857,0.031221020092735703,3,High-Carb,High-Protein,0.8805016236381412
