name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Ikan Gabus segar,0.0732673267326732,0.017,0.144,0.0,3,Low-Carb,High-Protein,1.7333547204288176
Teh,0.1306930693069307,0.0069999999999999,0.1114285714285714,0.104791344667697,2,High-Carb,High-Protein,1.6008371091799312
Kerbau daging segar,0.0782178217821782,0.005,0.1068571428571428,0.0,3,Low-Carb,High-Protein,1.3022075829880433
Ikan kayu kering,0.299009900990099,0.019,0.404,0.0006182380216383,3,Low-Carb,High-Protein,1.2896460856268486
Telur Ayam bagian putih,0.0495049504950495,0.0,0.0617142857142857,0.0012364760432766,3,Low-Carb,High-Protein,1.2715797015927863
Ikan Teri Nasi kering,0.1425742574257426,0.006,0.1857142857142857,0.0,1,Low-Carb,High-Protein,1.260487190828929
Daging Kerbau,0.0831683168316831,0.005,0.1068571428571428,0.0,3,Low-Carb,High-Protein,1.2246961588404033
Ikan Beunteur,0.0653465346534653,0.0,0.08,0.0,3,Low-Carb,High-Protein,1.2242236899102008
Ikan titang segar,0.0811881188118811,0.004,0.0994285714285714,0.0035548686244204,3,Low-Carb,High-Protein,1.2191712572018543
Ikan lehoma segar,0.0891089108910891,0.009,0.1165714285714285,0.0,3,Low-Carb,High-Protein,1.207176928982717
Telur bebek bagian putih segar,0.0534653465346534,0.0,0.0628571428571428,0.0012364760432766,3,Low-Carb,High-Protein,1.1987656358542864
Telur Bebek bagian putih,0.0534653465346534,0.0,0.0628571428571428,0.0012364760432766,3,Low-Carb,High-Protein,1.1987656358542864
Ikan kakap segar,0.091089108910891,0.0069999999999999,0.1142857142857142,0.0,3,Low-Carb,High-Protein,1.1777976288365914
Ikan Asin kering,0.1910891089108911,0.015,0.24,0.0,3,Low-Carb,High-Protein,1.1774549780853476
Ikan Teri bubuk,0.2742574257425743,0.023,0.3428571428571428,0.0027820710973724,3,Low-Carb,High-Protein,1.1764058408814477
Sapi dideh/darah,0.097029702970297,0.011,0.1251428571428571,0.0,3,Low-Carb,High-Protein,1.1763581386996493
Umbi Uwi segar,0.1188118811881188,0.005,0.016,0.1272024729520865,1,High-Carb,Low-Protein,1.1631943571275554
Ikan layur segar,0.0811881188118811,0.01,0.1028571428571428,0.0006182380216383,3,Low-Carb,High-Protein,1.1513289249433516
Cumi-cumi segar,0.0742574257425742,0.0069999999999999,0.092,0.0001545595054095,3,Low-Carb,High-Protein,1.1467326253401624
Ikan Kembung,0.1019801980198019,0.01,0.1257142857142857,0.0,3,Low-Carb,High-Protein,1.1346629374938035
Kerupuk Sayong ,0.0462376237623762,0.173,0.0988571428571428,0.1256568778979907,4,High-Carb,High-Protein,1.1140907008795928
Belut segar,0.0693069306930693,0.008,0.0834285714285714,0.0015455950540958,3,Low-Carb,High-Protein,1.110611234716383
Dideh darah sapi,0.1029702970297029,0.011,0.1251428571428571,0.0,3,Low-Carb,High-Protein,1.1084919820902295
Udang besar segar,0.0554455445544554,0.006,0.0651428571428571,0.0018547140649149,2,Low-Carb,High-Protein,1.100114925067419
Ikan Mujair segar,0.0881188118811881,0.01,0.1068571428571428,0.0,3,Low-Carb,High-Protein,1.0991528555205639
Ikan hiu segar,0.0564356435643564,0.003,0.0611428571428571,0.0034003091190108,3,Low-Carb,High-Protein,1.0904823953906537
